Feature,Importance,Normalized_importance,Cumulative Importance
RegisterLatitude,390,0.01248239662015107,0.01248239662015107
ExecutivesNumber,350,0.011202150812956087,0.023684547433107155
ListingAge,298,0.009537831263602612,0.03322237869670977
RegisterLongitude,297,0.009505825118422738,0.04272820381513251
IndDirectorRatio,293,0.009377800537703238,0.052106004352835744
Boardsize,271,0.008673665343746,0.060779669696581745
Mngmhldn,264,0.008449622327486878,0.06922929202406862
MaleRatio,239,0.007649468697990014,0.07687876072205864
IndLeverageRatioMedian,237,0.007585456407630265,0.0844642171296889
A001112000,236,0.00755345026245039,0.09201766739213929
A001223000,227,0.0072653949558315195,0.09928306234797081
IndustryCodeC,219,0.007009345794392523,0.10629240814236333
SharesBalance,217,0.0069453335040327744,0.1132377416463961
IndDirectorNetCentrality,212,0.0067853027781334015,0.1200230444245295
C001013000,211,0.006753296632953527,0.12677634105748303
A001205000,204,0.006529253616694405,0.13330559467417744
F081601B,194,0.00620919216489566,0.1395147868390731
D000105000,190,0.006081167584176162,0.14559595442324924
Seperation,189,0.006049161438996287,0.15164511586224552
AverageAge,188,0.006017155293816413,0.15766227115606193
InefficInvestDegree,187,0.005985149148636538,0.16364742030469848
F030901A,187,0.005985149148636538,0.16963256945333502
A002210000,179,0.005729099987197542,0.17536166944053255
C002100000,174,0.005569069261298169,0.1809307387018307
A002208000,172,0.00550505697093842,0.18643579567276913
OwnershipProportion,165,0.0052810139546792985,0.19171680962744844
A003103000,165,0.0052810139546792985,0.19699782358212775
C002001000,164,0.005249007809499424,0.20224683139162716
TextualSimilarity,162,0.005184995519139675,0.20743182691076684
A001110000,162,0.005184995519139675,0.2126168224299065
EmotionTone2,160,0.0051209832287799255,0.21773780565868645
A001121000,159,0.005088977083600051,0.22282678274228648
A001213000,158,0.005056970938420177,0.22788375368070665
B001302101,157,0.005024964793240302,0.23290871847394695
A003101000,155,0.004960952502880553,0.2378696709768275
C003007000,150,0.0048009217769811804,0.2426705927538087
F060201B,150,0.0048009217769811804,0.2474715145307899
TopTenHoldersRate,149,0.004768915631801306,0.2522404301625912
F030301A,147,0.004704903341441557,0.25694533350403276
A002112000,144,0.004608884905901933,0.2615542184099347
SupervisorSize,143,0.004576878760722059,0.26613109717065675
C001012000,142,0.004544872615542184,0.27067596978619896
F051701B,142,0.004544872615542184,0.27522084240174116
ControlProportion,142,0.004544872615542184,0.27976571501728337
C002002000,141,0.00451286647036231,0.2842785814876457
F052201B,140,0.004480860325182435,0.2887594418128281
BusinessYear,137,0.004384841889642811,0.2931442837024709
F031001A,137,0.004384841889642811,0.29752912559211375
F062201B,136,0.004352835744462937,0.3018819613365767
A002120000,133,0.0042568173089233136,0.3061387786455
A001222000,133,0.0042568173089233136,0.3103955959544233
D000107000,131,0.004192805018563564,0.31458840097298685
LargestHolderRate,130,0.004160798873383689,0.3187491998463705
F040501B,130,0.004160798873383689,0.3229099987197542
A001221000,130,0.004160798873383689,0.32707079759313784
D000104000,128,0.004096786583023941,0.33116758417616177
C001022000,125,0.004000768147484317,0.33516835232364606
F033101B,122,0.003904749711944693,0.33907310203559077
F041601B,122,0.003904749711944693,0.3429778517475355
C002007000,121,0.0038727435667648188,0.3468505953143003
A003200000,118,0.003776725131225195,0.35062732044552547
F081901B,118,0.003776725131225195,0.35440404557675065
A002125000,116,0.0037127128408654462,0.3581167584176161
A002107000,116,0.0037127128408654462,0.3618294712584815
F041001B,116,0.0037127128408654462,0.36554218409934697
A003102000,116,0.0037127128408654462,0.3692548969402124
A001125000,114,0.003648700550505697,0.3729035974907181
F031401A,113,0.0036166944053258225,0.3765202918960439
F032501B,113,0.0036166944053258225,0.3801369863013697
F031301A,112,0.003584688260145948,0.3837216745615157
A002113000,112,0.003584688260145948,0.38730636282166164
B001305000,111,0.0035526821149660737,0.3908590449366277
F053202B,111,0.0035526821149660737,0.3944117270515938
F032201B,111,0.0035526821149660737,0.39796440916655984
B001500000,111,0.0035526821149660737,0.4015170912815259
F011301A,111,0.0035526821149660737,0.40506977339649197
F062001B,110,0.003520675969786199,0.4085904493662782
ContrshrProportion,110,0.003520675969786199,0.4121111253360644
B001400000,110,0.003520675969786199,0.41563180130585065
F100802A,108,0.00345666367942645,0.4190884649852771
F091301A,107,0.003424657534246575,0.42251312251952367
B001212000,106,0.0033926513890667007,0.42590577390859036
F040201B,106,0.0033926513890667007,0.42929842529765705
D000102000,106,0.0033926513890667007,0.43269107668672374
D000106000,106,0.0033926513890667007,0.43608372807579043
F061401C,105,0.0033606452438868263,0.4394443733196773
StaffIntensity,104,0.003328639098706952,0.44277301241838424
C002200000,103,0.003296632953527077,0.4460696453719113
F031201A,103,0.003296632953527077,0.44936627832543835
SA,101,0.003232620663167328,0.45259889898860567
TargetDebtRatio,101,0.003232620663167328,0.455831519651773
F011001B,101,0.003232620663167328,0.4590641403149403
F091401A,100,0.0032006145179874538,0.4622647548329278
C002003000,100,0.0032006145179874538,0.46546536935091526
F040502B,97,0.00310459608244783,0.4685699654333631
D000112000,97,0.00310459608244783,0.47167456151581094
B001210000,97,0.00310459608244783,0.4747791575982588
B001207000,96,0.0030725899372679557,0.4778517475355267
A001218000,95,0.003040583792088081,0.48089233132761483
B001209000,95,0.003040583792088081,0.48393291511970293
F032701B,95,0.003040583792088081,0.48697349891179104
F081801B,92,0.002944565356548457,0.4899180642683395
